id,name,email,home_address,dob,card_last4,member_since,tier,churn_risk
MEM-0016,Carlos Nowak,carlos.nowak16@example.com,"171 Willow Pass, Findlay, OH 47405",1968-12-06,1037,2017-06-01,standard,0.01
MEM-0017,Ingrid Scott,ingrid.scott17@example.com,"86 Airline Rd, Findlay, OH 47147",1969-03-17,1209,2023-09-01,standard,0.38
MEM-0018,Zoe Harris,zoe.harris18@example.com,"995 Summit Ave, Kalamazoo, MI 48989",2001-03-02,3831,2025-10-01,standard,0.12
MEM-0019,Yosef Harris,yosef.harris19@example.com,"759 Orchard Ave, Akron, OH 44613",1990-09-08,6354,2019-01-01,standard,0.06
MEM-0020,Aisha Thomas,aisha.thomas20@example.com,"177 Ferry St, Sandusky, OH 46138",1959-11-07,6500,2021-01-01,standard,0.15
MEM-0021,Paloma Lopez,paloma.lopez21@example.com,"576 Orchard Ave, Fort Wayne, IN 45071",1988-06-14,1979,2020-05-01,standard,0.22
MEM-0022,Priya Al-Sayed,priya.al.sayed22@example.com,"643 Meadow Ln, Kalamazoo, MI 48403",1986-01-09,8776,2020-11-01,standard,0.05
MEM-0023,Rosa Adams,rosa.adams23@example.com,"614 Airline Rd, Ann Arbor, MI 49653",1998-01-21,5769,2024-01-01,standard,0.4
MEM-0024,Stan Hill,stan.hill24@example.com,"662 Harbor Rd, Kalamazoo, MI 47724",1968-11-14,5413,2017-07-01,standard,0.12
MEM-0025,Jerome Hernandez,jerome.hernandez25@example.com,"585 Harbor Rd, Findlay, OH 48967",1988-12-27,3664,2022-01-01,golden_goose,0.07
MEM-0026,Lamar Wright,lamar.wright26@example.com,"429 Harbor Rd, Findlay, OH 48397",1987-11-02,6274,2022-09-01,standard,0.3
MEM-0027,Ivan Wilson,ivan.wilson27@example.com,"982 Harbor Rd, Ann Arbor, MI 48235",1985-03-24,5776,2023-10-01,standard,0.01
MEM-0028,Mabel Anderson,mabel.anderson28@example.com,"557 Maple St, Columbus, OH 43507",2001-03-11,2089,2020-08-01,standard,0.08
MEM-0029,Linda Baker,linda.baker29@example.com,"564 Oak Ave, Toledo, OH 43241",1963-04-22,9238,2015-07-01,standard,0.33
MEM-0030,Luis Osei,luis.osei30@example.com,"197 Airline Rd, Ann Arbor, MI 43147",1962-09-14,9566,2016-05-01,standard,0.17
MEM-0031,Paloma Tanaka,paloma.tanaka31@example.com,"16 Lakeview Dr, Findlay, OH 44808",1964-08-14,3942,2025-01-01,standard,0.13
MEM-0032,Kitty Hernandez,kitty.hernandez32@example.com,"491 Orchard Ave, Ann Arbor, MI 49986",1956-11-17,2916,2021-08-01,standard,0.1
MEM-0033,Flo Young,flo.young33@example.com,"278 Maple St, Fort Wayne, IN 44842",1984-04-11,9236,2021-05-01,standard,0.01
MEM-0034,Ximena Tanaka,ximena.tanaka34@example.com,"537 Maple St, Akron, OH 46736",1998-03-11,6016,2016-06-01,standard,0.36
MEM-0035,Yuki Young,yuki.young35@example.com,"732 Canal Rd, Bowling Green, OH 47711",1959-08-10,9249,2025-02-01,standard,0.05
MEM-0036,Keiko Young,keiko.young36@example.com,"487 Maple St, Toledo, OH 48366",1988-03-04,8884,2017-01-01,standard,0.13
MEM-0037,Fatima Hernandez,fatima.hernandez37@example.com,"779 Summit Ave, Bowling Green, OH 47110",1987-01-01,2465,2019-05-01,standard,0.22
MEM-0038,DeShawn Clark,deshawn.clark38@example.com,"129 Airline Rd, Bowling Green, OH 43854",1985-11-09,2031,2015-06-01,standard,0.39
MEM-0039,Nellie White,nellie.white39@example.com,"232 Airline Rd, Findlay, OH 43371",1959-04-17,7848,2022-03-01,standard,0.18
MEM-0040,Curtis Martin,curtis.martin40@example.com,"93 Willow Pass, Findlay, OH 46548",1999-10-02,4223,2022-08-01,standard,0.09
MEM-0041,Tomasz Nowak,tomasz.nowak41@example.com,"596 Foundry St, Bowling Green, OH 43435",1993-09-19,1856,2016-11-01,standard,0.01
MEM-0042,Ximena Smith,ximena.smith42@example.com,"28 Summit Ave, Bowling Green, OH 45156",1993-10-23,9592,2024-03-01,standard,0.2
MEM-0043,Margaret Thompson,margaret.thompson43@example.com,"10 Balloon Way, Dayton, OH 49911",1966-01-12,3522,2024-11-01,standard,0.23
MEM-0044,Keiko Johnson,keiko.johnson44@example.com,"415 Canal Rd, Findlay, OH 45199",1976-08-05,1561,2024-03-01,standard,0.2
MEM-0045,Aisha Hill,aisha.hill45@example.com,"988 Ferry St, Toledo, OH 48467",1998-10-08,3192,2018-08-01,standard,0.37
MEM-0046,Ernesto Ramirez,ernesto.ramirez46@example.com,"925 Orchard Ave, Sandusky, OH 47610",1987-08-06,3508,2025-12-01,standard,0.13
MEM-0047,Chen Baker,chen.baker47@example.com,"433 Harbor Rd, Sandusky, OH 45143",2004-09-10,2645,2019-10-01,standard,0.13
MEM-0048,Linda Perez,linda.perez48@example.com,"557 Summit Ave, Sandusky, OH 49316",1960-10-02,4164,2023-11-01,standard,0.22
MEM-0049,Bob Baker,bob.baker49@example.com,"880 Harbor Rd, South Bend, IN 44481",1984-04-18,5263,2018-03-01,standard,0.37
MEM-0050,Otis Miller,otis.miller50@example.com,"777 Summit Ave, Fort Wayne, IN 44915",1957-04-13,4350,2015-12-01,standard,0.3
MEM-0051,Ernesto Smith,ernesto.smith51@example.com,"808 Prairie Ln, Sandusky, OH 45657",2004-07-07,3428,2022-08-01,standard,0.29
MEM-0052,Kitty Lopez,kitty.lopez52@example.com,"348 Harbor Rd, Akron, OH 48128",1972-06-25,6611,2020-05-01,standard,0.24
MEM-0053,Ernesto Kim,ernesto.kim53@example.com,"398 Ferry St, Columbus, OH 46265",1957-09-26,2430,2018-03-01,standard,0.07
MEM-0054,Tomasz Clark,tomasz.clark54@example.com,"183 Maple St, Findlay, OH 43146",1982-09-17,2103,2022-02-01,standard,0.02
MEM-0055,Stan Harris,stan.harris55@example.com,"733 Elm Ct, Fort Wayne, IN 49369",1982-12-27,4820,2019-09-01,standard,0.4
MEM-0056,Wes Adams,wes.adams56@example.com,"714 Canal Rd, Bowling Green, OH 48958",1980-03-01,8963,2022-02-01,standard,0.3
MEM-0057,Dolores Nguyen,dolores.nguyen57@example.com,"974 Cedar Blvd, Findlay, OH 47992",1998-01-22,6790,2025-09-01,standard,0.04
MEM-0058,Curtis Brzezinski,curtis.brzezinski58@example.com,"996 Ferry St, Columbus, OH 48837",1982-09-18,1205,2021-04-01,standard,0.38
MEM-0059,Linda Perez,linda.perez59@example.com,"995 Airline Rd, Kalamazoo, MI 49688",1967-02-20,2370,2023-06-01,standard,0.24
MEM-0060,Ray Miller,ray.miller60@example.com,"446 Meadow Ln, Columbus, OH 46363",1976-07-04,4244,2018-08-01,standard,0.01
MEM-0061,Ivan Patel,ivan.patel61@example.com,"851 Maple St, Toledo, OH 48390",1961-09-16,3020,2025-09-01,golden_goose,0.35
MEM-0062,Omar Lopez,omar.lopez62@example.com,"531 Summit Ave, South Bend, IN 43438",1962-02-06,7365,2015-07-01,standard,0.27
MEM-0063,Nellie Martin,nellie.martin63@example.com,"310 Canal Rd, Dayton, OH 48489",1995-09-09,4501,2015-01-01,standard,0.18
MEM-0064,Aisha Green,aisha.green64@example.com,"862 Oak Ave, Findlay, OH 44964",2003-10-25,6648,2024-05-01,standard,0.07
MEM-0065,Keiko Smith,keiko.smith65@example.com,"411 Foundry St, Kalamazoo, MI 44534",1971-01-26,9989,2016-11-01,standard,0.12
MEM-0066,Flo Adams,flo.adams66@example.com,"998 Balloon Way, Bowling Green, OH 45542",1958-01-18,3253,2021-02-01,standard,0.27
MEM-0067,Kitty Adams,kitty.adams67@example.com,"333 Harbor Rd, Sandusky, OH 46991",1974-05-01,7102,2021-10-01,standard,0.22
MEM-0068,Ray Martinez,ray.martinez68@example.com,"710 Meadow Ln, Bowling Green, OH 47719",1978-07-07,2329,2020-06-01,standard,0.34
MEM-0069,Carlos Wright,carlos.wright69@example.com,"387 Willow Pass, Kalamazoo, MI 44151",1962-09-04,6873,2024-01-01,standard,0.25
MEM-0070,Tomasz Miller,tomasz.miller70@example.com,"188 Cedar Blvd, Sandusky, OH 49944",1976-12-05,1588,2016-02-01,standard,0.39
MEM-0071,Jamal Torres,jamal.torres71@example.com,"992 Meadow Ln, Sandusky, OH 45197",1963-05-21,1166,2023-10-01,golden_goose,0.08
MEM-0072,Ingrid Adams,ingrid.adams72@example.com,"552 Cedar Blvd, Dayton, OH 46270",1971-12-17,1969,2015-01-01,standard,0.21
MEM-0073,Aisha Hernandez,aisha.hernandez73@example.com,"914 Ferry St, Columbus, OH 45733",1955-01-19,8391,2025-11-01,standard,0.12
MEM-0074,Aisha Martin,aisha.martin74@example.com,"390 Meadow Ln, Bowling Green, OH 44221",1966-06-22,4122,2022-08-01,standard,0.32
MEM-0075,Rosa White,rosa.white75@example.com,"613 Summit Ave, Dayton, OH 45265",1964-08-17,3520,2020-07-01,standard,0.07
MEM-0076,Ivan Brown,ivan.brown76@example.com,"816 Orchard Ave, Kalamazoo, MI 46280",1981-11-13,7875,2021-09-01,standard,0.32
MEM-0077,Otis Clark,otis.clark77@example.com,"466 Willow Pass, Erie, PA 43355",1989-05-14,3061,2022-11-01,standard,0.29
MEM-0078,Harriet Patel,harriet.patel78@example.com,"476 Maple St, Ann Arbor, MI 47069",1985-01-17,1273,2020-10-01,standard,0.38
MEM-0079,Ingrid Lopez,ingrid.lopez79@example.com,"25 Airline Rd, Akron, OH 46937",2001-12-08,1591,2017-06-01,standard,0.1
MEM-0080,Pearl Okafor-Reyes,pearl.okafor.reyes80@example.com,"41 Foundry St, South Bend, IN 47805",1967-06-13,2713,2022-07-01,golden_goose,0.01
MEM-0081,Hannah Clark,hannah.clark81@example.com,"392 Summit Ave, Fort Wayne, IN 46239",1979-11-13,6990,2015-02-01,standard,0.18
MEM-0082,Ximena Nowak,ximena.nowak82@example.com,"810 Elm Ct, Ann Arbor, MI 45046",1962-01-27,1615,2017-02-01,standard,0.06
MEM-0083,Priya Ramirez,priya.ramirez83@example.com,"779 Airline Rd, Kalamazoo, MI 47242",1999-03-02,4459,2025-01-01,standard,0.29
MEM-0084,Stan Nguyen,stan.nguyen84@example.com,"940 Canal Rd, Erie, PA 48254",1966-11-19,7119,2015-05-01,standard,0.27
MEM-0085,Umar Clark,umar.clark85@example.com,"121 Balloon Way, Akron, OH 49143",1994-10-22,3186,2024-03-01,standard,0.01
MEM-0086,Paloma Ramirez,paloma.ramirez86@example.com,"781 Lakeview Dr, Ann Arbor, MI 46967",1966-01-03,2037,2016-12-01,standard,0.07
MEM-0087,Bettye Brown,bettye.brown87@example.com,"911 Canal Rd, Sandusky, OH 44619",1979-08-03,6214,2022-12-01,golden_goose,0.11
MEM-0088,Paloma Smith,paloma.smith88@example.com,"287 Harbor Rd, Kalamazoo, MI 47713",1955-06-27,6500,2019-03-01,standard,0.22
MEM-0089,Ingrid Hernandez,ingrid.hernandez89@example.com,"186 Summit Ave, Columbus, OH 44180",1986-10-12,6737,2020-03-01,standard,0.03
MEM-0090,Flo Young,flo.young90@example.com,"302 Oak Ave, Kalamazoo, MI 43931",1989-08-26,6053,2020-06-01,standard,0.34
MEM-0091,Ximena Brown,ximena.brown91@example.com,"79 Harbor Rd, Sandusky, OH 47553",1982-11-19,2354,2020-09-01,standard,0.36
MEM-0092,Nellie Nowak,nellie.nowak92@example.com,"510 Willow Pass, Erie, PA 46349",1992-10-12,9211,2016-09-01,standard,0.04
MEM-0093,Zoe Lee,zoe.lee93@example.com,"285 Ferry St, Erie, PA 43926",1978-09-26,1120,2016-11-01,standard,0.3
MEM-0094,Greg White,greg.white94@example.com,"912 Harbor Rd, South Bend, IN 46147",1978-04-02,4743,2025-10-01,standard,0.01
MEM-0095,Zoe Smith,zoe.smith95@example.com,"909 Maple St, Toledo, OH 43790",1977-02-28,9388,2024-02-01,standard,0.03
MEM-0096,Wes Baker,wes.baker96@example.com,"435 Canal Rd, Ann Arbor, MI 43987",1988-02-07,6001,2021-05-01,standard,0.38
MEM-0097,Omar Kim,omar.kim97@example.com,"930 Willow Pass, Sandusky, OH 49382",1969-04-18,3847,2025-07-01,standard,0.24
MEM-0098,Curtis Clark,curtis.clark98@example.com,"605 Meadow Ln, Sandusky, OH 44007",1974-07-06,9436,2021-04-01,standard,0.38
MEM-0099,Rosa Miller,rosa.miller99@example.com,"419 Oak Ave, Fort Wayne, IN 49323",2002-10-03,2153,2025-03-01,standard,0.02
MEM-0100,Aisha Walker,aisha.walker100@example.com,"832 Foundry St, Dayton, OH 49054",1997-01-02,2640,2023-07-01,standard,0.18
MEM-0101,Aisha Osei,aisha.osei101@example.com,"666 Harbor Rd, Findlay, OH 43562",1958-05-06,5669,2016-04-01,standard,0.21
MEM-0102,Carlos Womack,carlos.womack102@example.com,"530 Airline Rd, Findlay, OH 45740",1960-11-27,2365,2025-10-01,standard,0.15
MEM-0103,Luis Thompson,luis.thompson103@example.com,"162 Elm Ct, Columbus, OH 43710",1991-07-11,2670,2016-05-01,standard,0.04
MEM-0104,DeShawn Al-Sayed,deshawn.al.sayed104@example.com,"757 Willow Pass, Ann Arbor, MI 43180",2003-10-10,8576,2016-03-01,standard,0.13
MEM-0105,Ernesto Adams,ernesto.adams105@example.com,"874 Foundry St, Findlay, OH 48237",1980-09-09,9584,2022-01-01,golden_goose,0.35
MEM-0106,Paloma Wright,paloma.wright106@example.com,"865 Elm Ct, Fort Wayne, IN 45521",1976-08-17,8129,2022-10-01,golden_goose,0.36
MEM-0107,Quinn Jackson,quinn.jackson107@example.com,"521 Balloon Way, Fort Wayne, IN 43397",1981-12-03,1753,2019-06-01,standard,0.33
MEM-0108,Otis Flores,otis.flores108@example.com,"172 Harbor Rd, Toledo, OH 46360",1994-12-22,9527,2015-07-01,standard,0.04
MEM-0109,Nadia Brown,nadia.brown109@example.com,"57 Meadow Ln, Kalamazoo, MI 48522",1993-10-09,9798,2020-08-01,standard,0.1
MEM-0110,Priya Okafor-Reyes,priya.okafor.reyes110@example.com,"936 Airline Rd, Ann Arbor, MI 44656",1995-11-12,1441,2022-11-01,standard,0.36
MEM-0111,DeShawn Lee,deshawn.lee111@example.com,"377 Cedar Blvd, Sandusky, OH 47986",1961-09-11,7443,2025-10-01,standard,0.14
MEM-0112,Flo White,flo.white112@example.com,"119 Willow Pass, South Bend, IN 46038",1998-07-13,9683,2018-07-01,standard,0.29
MEM-0113,Yuki Johnson,yuki.johnson113@example.com,"800 Oak Ave, Findlay, OH 47202",1988-09-07,8273,2015-07-01,standard,0.03
MEM-0114,Zoe Clark,zoe.clark114@example.com,"765 Canal Rd, Sandusky, OH 49215",1969-06-06,2508,2015-04-01,standard,0.05
MEM-0115,Greg Harris,greg.harris115@example.com,"555 Willow Pass, Kalamazoo, MI 47547",2004-03-02,3590,2023-01-01,golden_goose,0.24
MEM-0116,Rosa Jackson,rosa.jackson116@example.com,"778 Summit Ave, Fort Wayne, IN 45120",1988-08-28,3892,2016-06-01,standard,0.13
MEM-0117,Ximena Clark,ximena.clark117@example.com,"151 Maple St, South Bend, IN 48402",1992-01-04,3447,2020-07-01,standard,0.14
MEM-0118,Quinn Baker,quinn.baker118@example.com,"162 Balloon Way, Dayton, OH 43057",1955-07-18,6893,2024-04-01,standard,0.35
MEM-0119,Pearl White,pearl.white119@example.com,"375 Elm Ct, Erie, PA 46387",1957-01-15,7731,2016-09-01,standard,0.27
MEM-0120,Ximena Lopez,ximena.lopez120@example.com,"179 Meadow Ln, Ann Arbor, MI 46772",1965-03-07,6965,2022-01-01,golden_goose,0.24
MEM-0121,Umar Nguyen,umar.nguyen121@example.com,"961 Canal Rd, Kalamazoo, MI 43742",1961-01-11,3155,2025-01-01,standard,0.16
MEM-0122,Aisha Wright,aisha.wright122@example.com,"512 Airline Rd, Findlay, OH 43011",1989-03-23,1604,2023-06-01,standard,0.29
MEM-0123,Ivan Wilson,ivan.wilson123@example.com,"500 Harbor Rd, Kalamazoo, MI 45370",1961-07-09,8527,2024-07-01,standard,0.01
MEM-0124,Chen Torres,chen.torres124@example.com,"424 Willow Pass, Dayton, OH 46371",1960-06-11,4241,2022-09-01,standard,0.29
MEM-0125,Chen Robinson,chen.robinson125@example.com,"140 Harbor Rd, Sandusky, OH 43082",1973-08-26,4929,2017-10-01,standard,0.1
MEM-0126,Tina Brown,tina.brown126@example.com,"969 Harbor Rd, Findlay, OH 48888",1997-04-02,4601,2025-06-01,standard,0.2
MEM-0127,Yosef Walker,yosef.walker127@example.com,"564 Maple St, Bowling Green, OH 44066",1959-03-25,8271,2020-03-01,standard,0.12
MEM-0128,Mo Harris,mo.harris128@example.com,"210 Harbor Rd, Bowling Green, OH 44529",1980-02-11,4972,2022-11-01,standard,0.25
MEM-0129,Ivan Wilson,ivan.wilson129@example.com,"834 Maple St, South Bend, IN 46742",1967-01-09,2201,2016-07-01,standard,0.01
MEM-0130,Bob Davis,bob.davis130@example.com,"376 Prairie Ln, Akron, OH 43464",1972-02-19,1159,2016-02-01,golden_goose,0.36
MEM-0131,Harriet Ramirez,harriet.ramirez131@example.com,"302 Orchard Ave, Toledo, OH 43540",1985-01-14,8945,2018-10-01,standard,0.11
MEM-0132,Chen Young,chen.young132@example.com,"10 Canal Rd, Sandusky, OH 43128",1984-10-11,1343,2023-06-01,standard,0.22
MEM-0133,Quinn Tanaka,quinn.tanaka133@example.com,"88 Willow Pass, Columbus, OH 49761",1988-11-03,1440,2018-06-01,standard,0.21
MEM-0134,Dolores Ramirez,dolores.ramirez134@example.com,"461 Meadow Ln, Erie, PA 49554",1968-10-18,2083,2024-04-01,standard,0.31
MEM-0135,Jerome Martinez,jerome.martinez135@example.com,"779 Maple St, Findlay, OH 49894",1980-06-03,3280,2020-02-01,standard,0.22
MEM-0136,Flo Walker,flo.walker136@example.com,"195 Lakeview Dr, Kalamazoo, MI 43788",1969-10-08,1209,2023-12-01,standard,0.17
MEM-0137,Nadia Harris,nadia.harris137@example.com,"618 Lakeview Dr, Kalamazoo, MI 49305",1961-07-20,3397,2023-09-01,standard,0.01
MEM-0138,Otis Adams,otis.adams138@example.com,"693 Prairie Ln, Columbus, OH 44250",1981-04-04,5447,2020-08-01,standard,0.2
MEM-0139,Linda Flores,linda.flores139@example.com,"968 Balloon Way, South Bend, IN 44326",1994-02-13,4772,2022-10-01,standard,0.39
MEM-0140,Wes Baker,wes.baker140@example.com,"327 Orchard Ave, Fort Wayne, IN 44700",1963-06-18,5704,2016-08-01,standard,0.26
MEM-0141,Tomasz Walker,tomasz.walker141@example.com,"152 Meadow Ln, Columbus, OH 45104",2000-01-04,4334,2022-11-01,standard,0.19
MEM-0142,Mabel Tanaka,mabel.tanaka142@example.com,"90 Airline Rd, Findlay, OH 46578",1990-10-25,4910,2021-12-01,standard,0.36
MEM-0143,Priya Nguyen,priya.nguyen143@example.com,"615 Maple St, Erie, PA 45189",2003-10-28,1191,2018-05-01,standard,0.35
MEM-0144,Nadia Walker,nadia.walker144@example.com,"437 Canal Rd, Dayton, OH 46182",1997-02-26,1527,2018-11-01,standard,0.11
MEM-0145,Harriet Al-Sayed,harriet.al.sayed145@example.com,"486 Maple St, Fort Wayne, IN 47601",1977-03-15,8095,2023-08-01,standard,0.16
MEM-0146,Harriet Okafor-Reyes,harriet.okafor.reyes146@example.com,"172 Maple St, Dayton, OH 49906",1976-05-13,1112,2024-02-01,standard,0.15
MEM-0147,DeShawn Allen,deshawn.allen147@example.com,"557 Summit Ave, South Bend, IN 46748",1963-03-25,7311,2023-02-01,standard,0.37
MEM-0148,Bettye Nguyen,bettye.nguyen148@example.com,"986 Foundry St, Sandusky, OH 48424",1964-08-11,2316,2025-11-01,golden_goose,0.24
MEM-0149,Nellie Sanchez,nellie.sanchez149@example.com,"791 Prairie Ln, Toledo, OH 48108",1959-07-06,2088,2023-05-01,standard,0.21
MEM-0150,Paloma Kim,paloma.kim150@example.com,"925 Maple St, Ann Arbor, MI 43910",1998-11-02,8120,2016-10-01,standard,0.37
MEM-0151,Ray Perez,ray.perez151@example.com,"764 Canal Rd, Dayton, OH 48839",1962-05-11,6483,2020-01-01,standard,0.39
MEM-0152,Otis Sanchez,otis.sanchez152@example.com,"53 Willow Pass, Columbus, OH 49208",2000-02-07,6469,2025-09-01,standard,0.4
MEM-0153,Aisha Ramirez,aisha.ramirez153@example.com,"429 Elm Ct, Sandusky, OH 45188",1992-11-17,1141,2019-12-01,standard,0.17
MEM-0154,Greg Lewis,greg.lewis154@example.com,"648 Foundry St, Kalamazoo, MI 47734",1982-10-21,4888,2017-05-01,standard,0.08
MEM-0155,Mo Martinez,mo.martinez155@example.com,"896 Elm Ct, Ann Arbor, MI 43708",1993-07-05,9445,2024-09-01,standard,0.04
MEM-0156,Flo Wright,flo.wright156@example.com,"987 Canal Rd, Sandusky, OH 46775",1971-09-10,5317,2016-06-01,standard,0.24
MEM-0157,Dolores Harris,dolores.harris157@example.com,"451 Foundry St, Erie, PA 43742",2001-10-20,8950,2024-12-01,standard,0.35
MEM-0158,Linda Patel,linda.patel158@example.com,"921 Airline Rd, Erie, PA 49915",2001-05-16,1253,2024-05-01,standard,0.16
MEM-0159,Gus Clark,gus.clark159@example.com,"260 Ferry St, Sandusky, OH 44735",1988-07-23,3543,2023-07-01,standard,0.05
MEM-0160,Chen Kowalczyk,chen.kowalczyk160@example.com,"137 Willow Pass, Ann Arbor, MI 46539",1978-03-17,3818,2018-10-01,standard,0.18
MEM-0161,Flo Thomas,flo.thomas161@example.com,"450 Harbor Rd, Columbus, OH 46076",1971-11-08,7528,2019-04-01,standard,0.32
MEM-0162,Hannah King,hannah.king162@example.com,"977 Maple St, Erie, PA 43567",1995-11-26,4855,2016-11-01,standard,0.3
MEM-0163,Lamar Miller,lamar.miller163@example.com,"308 Elm Ct, Erie, PA 46174",1963-02-10,8130,2020-04-01,standard,0.07
MEM-0164,Priya Wilson,priya.wilson164@example.com,"108 Orchard Ave, Bowling Green, OH 44385",1957-01-07,5240,2022-07-01,standard,0.1
MEM-0165,Yosef Clark,yosef.clark165@example.com,"169 Harbor Rd, Columbus, OH 45902",1978-12-11,7499,2021-08-01,standard,0.13
MEM-0166,Bob King,bob.king166@example.com,"722 Oak Ave, Toledo, OH 49720",1970-11-21,6063,2023-12-01,standard,0.26
MEM-0167,Mo Sanchez,mo.sanchez167@example.com,"703 Meadow Ln, Sandusky, OH 45936",1984-04-28,9982,2015-11-01,standard,0.32
MEM-0168,Lamar Hill,lamar.hill168@example.com,"107 Airline Rd, Bowling Green, OH 46292",1961-04-11,4879,2024-10-01,standard,0.17
MEM-0169,Fatima Kim,fatima.kim169@example.com,"446 Summit Ave, Sandusky, OH 44961",1998-08-11,4495,2024-07-01,standard,0.11
MEM-0170,Carlos Brzezinski,carlos.brzezinski170@example.com,"623 Cedar Blvd, Findlay, OH 46223",1963-01-23,2522,2021-03-01,standard,0.02
MEM-0171,Ernesto Scott,ernesto.scott171@example.com,"987 Airline Rd, Bowling Green, OH 49910",1985-09-03,2952,2022-12-01,standard,0.11
MEM-0172,Hannah Smith,hannah.smith172@example.com,"43 Airline Rd, Toledo, OH 46230",1965-07-28,1623,2020-04-01,standard,0.01
MEM-0173,Arthur Kim,arthur.kim173@example.com,"389 Maple St, Sandusky, OH 49712",1975-03-13,7475,2019-08-01,standard,0.4
MEM-0174,Tomasz Thompson,tomasz.thompson174@example.com,"48 Summit Ave, Sandusky, OH 47978",2003-03-18,3730,2024-02-01,standard,0.25
MEM-0175,Arthur Lee,arthur.lee175@example.com,"79 Elm Ct, Erie, PA 45300",1969-10-02,3956,2019-08-01,standard,0.2
MEM-0176,Ernesto Tanaka,ernesto.tanaka176@example.com,"25 Canal Rd, Erie, PA 45980",1985-03-24,6857,2017-05-01,standard,0.18
MEM-0177,Curtis Al-Sayed,curtis.al.sayed177@example.com,"614 Willow Pass, Bowling Green, OH 49584",1984-11-12,3092,2025-08-01,standard,0.18
MEM-0178,Curtis Johnson,curtis.johnson178@example.com,"788 Cedar Blvd, Fort Wayne, IN 43448",2003-11-22,8846,2021-02-01,standard,0.22
MEM-0179,Tomasz Kowalczyk,tomasz.kowalczyk179@example.com,"743 Canal Rd, Sandusky, OH 44914",1976-05-10,3580,2016-07-01,golden_goose,0.1
MEM-0180,Curtis Flores,curtis.flores180@example.com,"880 Ferry St, Kalamazoo, MI 46808",1956-03-07,6848,2021-07-01,standard,0.35
MEM-0181,Tina Scott,tina.scott181@example.com,"20 Canal Rd, Sandusky, OH 48579",2003-01-24,1981,2021-07-01,golden_goose,0.2
MEM-0182,Curtis Hernandez,curtis.hernandez182@example.com,"865 Summit Ave, Fort Wayne, IN 43955",1964-05-19,7330,2025-07-01,standard,0.1
MEM-0183,Margaret Moore,margaret.moore183@example.com,"543 Prairie Ln, Fort Wayne, IN 48385",1958-01-22,5258,2015-05-01,standard,0.03
MEM-0184,Curtis Adams,curtis.adams184@example.com,"227 Elm Ct, Erie, PA 45429",1957-05-18,3939,2020-02-01,standard,0.19
MEM-0185,Stan Torres,stan.torres185@example.com,"697 Foundry St, Sandusky, OH 45836",1984-12-03,3493,2022-11-01,standard,0.08
MEM-0186,Ivan Martinez,ivan.martinez186@example.com,"677 Cedar Blvd, Bowling Green, OH 47976",1955-02-06,2590,2016-07-01,standard,0.2
MEM-0187,Arthur Harris,arthur.harris187@example.com,"12 Foundry St, Kalamazoo, MI 49889",1956-09-18,6139,2019-12-01,standard,0.08
